分类: 💰央视付费频道, 名称: 文化精品, 总数: 83, 有效: 5, 有效率: 6.02%, IPv4: 77, IPv6: 6, 最小延迟: 756 ms, 最高速率: 10.61 M/s, 平均速率: 6.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 央视台球, 总数: 109, 有效: 6, 有效率: 5.50%, IPv4: 102, IPv6: 7, 最小延迟: 510 ms, 最高速率: 25.86 M/s, 平均速率: 12.41 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 第一剧场, 总数: 128, 有效: 4, 有效率: 3.12%, IPv4: 117, IPv6: 11, 最小延迟: 607 ms, 最高速率: 15.62 M/s, 平均速率: 8.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 风云音乐, 总数: 112, 有效: 6, 有效率: 5.36%, IPv4: 104, IPv6: 8, 最小延迟: 637 ms, 最高速率: 5.67 M/s, 平均速率: 4.09 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 高尔夫网球, 总数: 80, 有效: 3, 有效率: 3.75%, IPv4: 74, IPv6: 6, 最小延迟: 922 ms, 最高速率: 4.03 M/s, 平均速率: 3.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 怀旧剧场, 总数: 129, 有效: 8, 有效率: 6.20%, IPv4: 120, IPv6: 9, 最小延迟: 575 ms, 最高速率: 9.59 M/s, 平均速率: 6.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 💰央视付费频道, 名称: 风云剧场, 总数: 102, 有效: 7, 有效率: 6.86%, IPv4: 95, IPv6: 7, 最小延迟: 604 ms, 最高速率: 7.78 M/s, 平均速率: 4.41 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 女性时尚, 总数: 88, 有效: 7, 有效率: 7.95%, IPv4: 83, IPv6: 5, 最小延迟: 557 ms, 最高速率: 7.34 M/s, 平均速率: 3.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 电视指南, 总数: 81, 有效: 1, 有效率: 1.23%, IPv4: 79, IPv6: 2, 最小延迟: 563 ms, 最高速率: 7.04 M/s, 平均速率: 7.04 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 风云足球, 总数: 108, 有效: 4, 有效率: 3.70%, IPv4: 102, IPv6: 6, 最小延迟: 869 ms, 最高速率: 12.13 M/s, 平均速率: 9.18 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 兵器科技, 总数: 105, 有效: 6, 有效率: 5.71%, IPv4: 97, IPv6: 8, 最小延迟: 663 ms, 最高速率: 22.36 M/s, 平均速率: 7.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 世界地理, 总数: 109, 有效: 6, 有效率: 5.50%, IPv4: 103, IPv6: 6, 最小延迟: 573 ms, 最高速率: 18.70 M/s, 平均速率: 7.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🌊港·澳·台, 名称: 中天新闻, 总数: 76, 有效: 3, 有效率: 3.95%, IPv4: 61, IPv6: 15, 最小延迟: 258 ms, 最高速率: 6.13 M/s, 平均速率: 3.42 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
